unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength	gew_aantal_meetptn	geselecteerd	reserve	cat	selectie
2	ALMP002	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	109744	185010	2	1	1	1	4	601	1.05	13.42	4	4	2	13.8	1.58	0.3	1	0	2	3	1
5	ARHP010	ARH	Aronst Hoek	203804	177070	1	2	1	1	2	486	2.15	23.791	3	6	3	24.191	2.7	0.3	1	0	4	3	-1
7	BEBP012	BEB	Bellebeek	133244	174908	2	1	1	1	3	505	1.7	13.91	2	7	7	13.91	2.2	1	1	0	3	3	-1
8	BEBP013	BEB	Bellebeek	133268	174873	2	1	1	1	3	505	0.94	13.21	2	4	2	13.9	1.78	0.3	1	0	4	3	-1
11	BRAP003	BRA	Bos van Ranst	163755	210701	2	1	1	1	4	918	1.125	8.84	4	4	2	9.4	2.17	0.97	1	0	2	3	-1
13	BRAP102	BRA	Bos van Ranst	163992	210550	2	1	1	1	4	918	1.525	9.17	4	4	2	9.62	2.25	0.55	1	0	3	3	-1
14	DEMP007	DEM	de Merode-Herselt	190806	194941	2	1	1	1	1	822	2.07	15.85	5	3	1	16.34	2.71	0.3	1	0	4	3	1
15	DEMP011	DEM	de Merode-Herselt	190657	194916	2	1	1	1	1	822	1.85	15.76	5	3	1	15.76	2	0.3	1	0	3	3	1
17	DORP004	DOR	Dorent	154347	192887	2	1	1	1	3	790	1.67	3.58	2	2	5	3.98	2.22	0.3	1	0	2	3	1
19	DUNP010	DUN	Dunbergbroek	178354	180655	2	1	1	1	4	134	1.81	15.714	4	3	1	16.054	2.4	0.5	1	0	2	3	1
20	DUNP011	DUN	Dunbergbroek	178562	180199	2	1	1	1	4	134	1.82	16.05	4	3	1	16.54	2.31	0	1	0	3	3	1
22	DYLP020	DYL	Dijlevallei	169378	167510	2	1	1	1	3	262	1.74	27.24	2	3	1	27.48	2.23	0.5	1	0	5	3	1
23	DYLP021	DYL	Dijlevallei	169440	167581	2	1	1	1	3	262	2.06	27.89	2	3	1	28.21	2.53	0.3	1	0	3	3	1
26	DYLP066	DYL	Dijlevallei	169359	167629	2	1	1	1	3	262	2.205	27.165	2	3	1	27.435	2.625	0.3	1	0	8	3	1
29	DYLP073	DYL	Dijlevallei	169323	167496	2	1	1	1	3	262	1.61	27.22	2	3	1	27.61	2.15	0.3	1	0	7	3	1
30	DYLP156	DYL	Dijlevallei	169478	166091	2	1	1	1	3	262	1.84	28.092	2	3	1	28.432	2.33	0.3	1	0	9	3	1
