jaar,gem_jaar,og_jaar_trend,bg_jaar_trend,aantal dagen onder kritisch minimum,og_jaar_indicator,bg_jaar_indicator,tijdvenster
1985,39.42250030418408,31.066276084534156,50.02638636199766,4.087931034482758,0.7735407888451724,7.4023212801203435,0
1986,39.442611461939514,32.10516964694968,48.45698110445373,16.542241379310344,11.261557934179077,21.82292482444161,0
1987,39.431879779357295,32.974714290439245,47.153498563731596,0.6456896551724138,-0.43737006129653677,1.7287493716413644,0
1988,39.30778032421134,33.556612108580346,46.04462420154082,0.9801724137931035,-0.12456244747039713,2.084907275056604,0
1989,38.98070420268588,33.753597639801164,45.01728427151575,72.32844827586207,61.4991589255915,83.15773762613264,0
1990,38.35104816671404,33.50799974416768,43.89408221067043,74.43362068965517,62.60156457391926,86.26567680539108,0
1991,37.443938425907874,32.90119081274005,42.6139142751112,34.04137931034483,24.12172282354696,43.9610357971427,0
1992,36.3872401369465,32.085772528613376,41.26536905424575,7.031896551724138,3.003710121482035,11.060082981966241,0
1993,35.2896153070384,31.182228598831692,39.93803536432989,23.351724137931033,16.851322127502623,29.852126148359442,0
1994,34.202048136929555,30.252838315618295,38.66678837062826,19.19655172413793,13.981553969689166,24.411549478586693,0
1995,33.135454652022055,29.31909578075749,37.448574922178004,40.24051724137931,32.94672802736561,47.53430645539301,0
1996,32.08156553086527,28.37685491583636,36.26994076559269,59.98189655172414,49.18914276017056,70.77465034327773,0
1997,31.060307926456336,27.44087648550845,35.15713971438805,32.883620689655174,22.670352507220585,43.096888872089764,0
1998,30.15935248391942,26.595031068501395,34.201371673770744,11.951724137931034,5.925542436209517,17.97790583965255,0
1999,29.456450322736405,25.92731530143516,33.46595879781693,16.291379310344826,11.362126589664157,21.220632031025495,0
2000,28.981205648470574,25.48033744466473,32.96307526001033,2.435344827586207,0.49019624578104803,4.380493409391366,0
2001,28.74149879326978,25.26893583970225,32.69127588608663,9.50948275862069,6.182621880652713,12.836343636588667,0
2002,28.722971232729343,25.276721642412713,32.639085404646984,1.903448275862069,0.3031492797676103,3.5037472719565277,0
2003,28.88419943921135,25.454329825770635,32.77623032917068,54.6551724137931,45.35857303395507,63.95177179363114,0
2004,29.1678419200539,25.73303932494029,33.06111616006041,17.048275862068966,11.059684268679076,23.036867455458854,0
2005,29.5953577370847,26.130742388896397,33.51933850751231,39.70172413793104,29.637631234374314,49.765817041487765,0
2006,30.159379694615406,26.636080013433467,34.14872545454302,36.22241379310345,28.182993114641846,44.26183447156505,0
2007,30.880530658321934,27.268072297360106,34.97156540221885,9.828448275862069,3.2028862379210112,16.454010313803128,0
2008,31.799750585883427,28.07017516540309,36.024860242794006,6.9879310344827585,2.1380690087022964,11.83779306026322,0
2009,32.93857113477478,29.06300249271962,37.330949156832716,54.15,43.7109760523176,64.58902394768239,0
2010,34.29174026833164,30.235009311214466,38.892776202802615,40.140517241379314,32.96594530026774,47.31508918249089,0
2011,35.917304418719375,31.64494224116074,40.76647531462327,37.58275862068965,26.110736402975306,49.054780838404,0
2012,37.90722271053972,33.39235332965961,43.032532611294876,15.218103448275862,10.137621473539065,20.29858542301266,0
2013,40.37132108644694,35.59665813577704,45.786420737819,27.49137931034483,21.141481512760958,33.841277107928704,0
2014,43.39569315602523,38.340564275870925,49.11733095376092,12.088793103448277,7.018809384678723,17.15877682221783,0
2015,47.05088971426527,41.67076910714425,53.12563867520289,49.58362068965517,39.48631369904485,59.68092768026549,0
2016,51.3469202381499,45.54193734131247,57.891832711984215,11.726724137931035,5.806773592134864,17.646674683727205,0
2017,56.284605826741874,49.879355493905244,63.51238546895013,69.75344827586207,54.546243221923405,84.96065332980073,0
2018,61.77952939729317,54.518411650442246,70.00773017788481,117.95689655172414,102.39685388807175,133.51693921537654,0
2019,67.72409927148098,59.29111064161695,77.35651386017499,59.11206896551724,46.64111048982757,71.58302744120691,0
2020,74.17061323433306,64.16284394194898,85.73933961740036,92.62068965517241,79.5338748438505,105.70750446649433,0
2021,81.16010574402708,69.07879113676641,95.35434329388288,4.733620689655172,0.5244580861896386,8.942783293120705,0
2022,88.81011093635918,74.04475413270578,106.51984596224908,92.00775862068966,79.13919150460767,104.87632573677165,0
1985,11.356187422645885,7.299612150265547,17.667102049191634,4.087931034482758,0.7735407888451724,7.4023212801203435,2
1986,15.314422539418619,11.139005615972568,21.05497975326908,12.095689655172414,8.460967697641827,15.730411612703001,2
1987,20.665142936782953,16.541263064249723,25.817141710335314,5.662931034482758,3.8145831513465502,7.5112789176189665,2
1988,27.867580692250954,23.69750184038643,32.77147350256116,0.7879310344827586,-0.07956844773555338,1.6554305167010706,2
1989,35.5530906999467,30.370632795330103,41.61988546096402,48.217241379310344,41.00685472032197,55.42762803829872,2
1990,40.16476835603229,34.29345061536024,47.041303460176366,73.38879310344828,63.854993697740866,82.92259250915569,2
1991,39.468075217393086,34.35652694240284,45.34011729349886,47.16293103448276,37.84960547925282,56.4762565897127,2
1992,36.14237638195824,31.1956863396532,41.87346148799799,15.726724137931035,11.129082559445964,20.324365716416104,2
1993,33.54172174205824,28.53334486355718,39.429204770821464,17.589655172413792,12.935979416249054,22.24333092857853,2
1994,32.452883948268855,27.930818096906123,37.70708301152365,20.24137931034483,16.088580213447027,24.39417840724263,2
1995,32.06241403094581,28.00974593460183,36.70145369729518,32.907758620689656,27.31891975353362,38.49659748784569,2
1996,30.565990289694174,26.66306484694538,35.04022391096998,53.05603448275862,45.305257561557724,60.806811403959514,2
1997,26.8595316254391,23.516650626034256,30.67760161131512,41.58448275862069,32.45920180738457,50.70976370985681,2
1998,22.32404185974881,19.199591686405988,25.95695018392897,18.595689655172414,12.145304617817736,25.046074692527093,2
1999,18.86935381413558,15.441854533807724,23.05762643881323,14.498275862068965,10.728067864121133,18.268483860016797,2
2000,17.06248296458541,13.43490473544825,21.669548884006574,6.754310344827586,4.592589191051228,8.916031498603944,2
2001,17.08214873007039,13.549917741942556,21.535171710526722,6.876724137931035,4.534519241760968,9.218929034101102,2
2002,18.755449891834186,15.580895681676237,22.576808665678637,4.189655172413793,2.5985323426751985,5.7807780021523865,2
2003,21.729046906093036,18.907899874934866,24.971122259489846,36.75948275862069,30.580893904711544,42.93807161252984,2
2004,24.465664558630493,21.424445424362155,27.938587461161728,29.254310344827587,24.16563736775747,34.342983321897705,2
2005,26.464456275742936,23.076900297375545,30.34928595026084,31.81206896551724,24.378349460891954,39.24578847014253,2
2006,27.512743149047484,23.99094128602034,31.551535496714298,37.07155172413793,29.539134113400966,44.603969334874904,2
2007,27.81839443293071,24.274647758265797,31.879476750083885,18.313793103448276,12.146080327954461,24.48150587894209,2
2008,28.49368982201951,24.827845454883324,32.70079802731209,7.692241379310345,2.595775323250405,12.788707435370284,2
2009,29.593883913485374,25.768039527053347,33.98776085256178,38.11724137931034,30.435865587775666,45.79861717084502,2
2010,29.97563085295078,26.125768607599817,34.39280422819773,44.476724137931036,37.203614953096015,51.74983332276606,2
2011,29.122420832010736,25.4749453204415,33.29213799867086,38.119827586206895,28.847967747219123,47.39168742519467,2
2012,27.882418466494013,24.183379191752827,32.147255078637244,22.380172413793105,16.078334036492304,28.682010791093905,2
2013,27.649656711974362,23.586345327309726,32.41297054210597,23.09396551724138,18.003220510461478,28.18471052402128,2
2014,29.12790258251731,24.66120005879174,34.4036262158358,16.916379310344826,12.661907374853637,21.170851245836015,2
2015,33.09779604236216,28.393138542219933,38.58200111385625,36.74310344827586,29.40364578911712,44.0825611074346,2
2016,39.58753739573332,34.58095428696874,45.318966736818695,24.002586206896552,18.21408707274189,29.791085341051215,2
2017,49.03920182447699,43.09337348182868,55.80540861104421,50.07155172413793,38.91178178122537,61.231321667050494,2
2018,59.272082511971306,51.23947907493555,68.56392431640572,101.5551724137931,87.7147703548084,115.39557447277781,2
2019,65.55313566212094,56.59682466197051,75.92676127683693,78.3801724137931,67.44732735648321,89.313017471103,2
2020,66.98374989767984,58.502463074431716,76.69459565568057,81.11379310344827,70.04547514913298,92.18211105776356,2
2021,64.99714760307398,56.132308493676035,75.26198921627713,33.7198275862069,28.125583583587378,39.314071588826415,2
2022,63.05593303943426,51.705098558626425,76.89861932987758,62.58275862068965,53.782942321059735,71.38257492031957,2
1985,9.641710510931073,6.7692232829223755,13.733123829897574,4.087931034482758,0.7735407888451724,7.4023212801203435,4
1986,11.525045350468424,8.993155715100613,14.769750968208141,12.095689655172414,8.460967697641827,15.730411612703001,4
1987,14.011900225823844,11.406071286729151,17.213056362962952,6.185344827586207,4.323032861719658,8.047656793452758,4
1988,18.575374344405834,15.603165099161606,22.113752552253032,3.929310344827586,2.729714293013735,5.128906396641437,4
1989,26.42354367109137,23.072829082300462,30.260860410641012,30.588793103448275,26.131611732576353,35.0459744743202,4
1990,34.58285821643564,30.13537455519401,39.68671702512345,51.28793103448276,44.89440175236393,57.68146031660159,4
1991,37.943423968461545,33.14760533609939,43.433104981569024,50.063793103448276,42.5640188493939,57.563567357502656,4
1992,35.89570693547112,31.550462567168548,40.83939415005744,34.689655172413794,29.011332629666487,40.367977715161096,4
1993,32.47531713833677,28.13788777141108,37.48135722920544,25.243965517241378,20.255087608690395,30.23284342579236,4
1994,30.741575781861666,26.502483025683958,35.65871471877132,19.035344827586208,15.678284179746418,22.392405475425996,4
1995,31.280980712389326,27.43883144552955,35.66113069615778,26.78965517241379,22.820995817365443,30.75831452746214,4
1996,32.02656977663728,28.175583667367647,36.40390146897868,41.78793103448276,36.47759958209901,47.09826248686651,4
1997,30.047215229990123,26.249946657699944,34.39378962747416,40.671551724137935,34.24223339747321,47.10087005080266,4
1998,25.191146359074494,22.13284568601578,28.672040816028836,30.21206896551724,24.18434875333944,36.239789177695044,4
1999,19.80079606637619,17.35192138433445,22.595280152443888,22.238793103448277,18.071214845858236,26.406371361038318,4
2000,15.81484213562662,13.45902827603275,18.58300812252358,11.106896551724137,8.568779865084856,13.645013238363418,4
2001,14.241308623257439,11.899372266478151,17.04416558797968,8.536206896551723,6.53025615206605,10.542157641037397,4
2002,15.001682955661863,12.749986522459139,17.651037599590286,5.332758620689655,3.8382114044940154,6.827305836885295,4
2003,17.96650318848062,15.779348799681665,20.45681611577002,24.132758620689657,20.3680727600438,27.897444481335516,4
2004,21.50676226022258,18.950657616104106,24.407639686586442,24.09655172413793,20.400402971915366,27.792700476360498,4
2005,24.49927261613968,21.4947791491802,27.923727643548432,31.667241379310344,26.07069030424345,37.26379245437724,4
2006,25.68904479809903,22.64289926606179,29.144987789963253,34.8198275862069,28.651085244015917,40.98856992839788,4
2007,25.175377170560584,22.261086779322433,28.471189298300473,23.995689655172413,18.151690020711442,29.839689289633384,4
2008,24.972566401140977,22.017779734695814,28.323885522238868,16.50344827586207,11.359605473956094,21.647291077768045,4
2009,26.23429846967443,23.24007945273645,29.614288436304133,28.879310344827587,22.855008464269957,34.90361222538522,4
2010,27.728674657563566,24.533897791733374,31.339471811286327,34.23275862068966,28.160776156679717,40.3047410846996,4
2011,28.070207645163343,24.75482549053507,31.829614696490257,38.17672413793103,30.432830509019873,45.92061776684219,4
2012,26.873783111494937,23.732105653842247,30.431358652187093,30.348275862068967,23.78373247035986,36.912819253778075,4
2013,25.52303942375694,22.461895166322922,29.00136148811398,26.663793103448278,21.245221910959376,32.082364295937175,4
2014,25.3647918243635,22.117978378376332,29.088221956229578,19.443103448275863,15.207796236957005,23.67841065959472,4
2015,27.71466766702308,24.141291060810328,31.81697291825586,30.03448275862069,24.627205677334906,35.441759839906474,4
2016,32.876701614706796,28.795417375579873,37.536441822132055,24.276724137931033,19.443882834959936,29.10956544090213,4
2017,42.249387108859814,37.41901534055133,47.703305253461785,42.09396551724138,33.546788369833884,50.641142664648875,4
2018,54.462823815213824,48.00541013436033,61.788851915337275,74.96724137931035,64.34965480763378,85.58482795098692,4
2019,64.09588328790544,56.282045646142564,72.99454394899676,73.69827586206897,63.7461185213303,83.65043320280763,4
2020,68.1933855752617,60.27388607394466,77.15344304349689,84.88103448275862,74.66091603657367,95.10115292894358,4
2021,66.74622337300808,58.77383833780431,75.8000236253742,52.82241379310345,45.992277928062805,59.652549658144096,4
2022,64.61701571332964,54.54349097377537,76.55099893962065,62.213793103448275,54.552269470133744,69.87531673676281,4
1985,9.70190670884506,7.096455238552267,13.263945254777008,4.087931034482758,0.7735407888451724,7.4023212801203435,6
1986,11.540952909087517,9.125769726938357,14.595327083106369,12.095689655172414,8.460967697641827,15.730411612703001,6
1987,13.865289981687253,11.475060031532852,16.753399611679107,6.185344827586207,4.323032861719658,8.047656793452758,6
1988,17.51031344281723,15.00283739511452,20.436872625544133,3.929310344827586,2.729714293013735,5.128906396641437,6
1989,23.05142757321308,20.332181593999447,26.134348186222613,26.53793103448276,22.735123484616196,30.340738584349324,6
1990,29.046271071330313,25.71386764965694,32.810539225142826,40.06206896551724,35.22442730379004,44.899710627244446,6
1991,33.25031166304813,29.39485987301195,37.61144739134797,41.741379310344826,35.872983587657636,47.609775033032015,6
1992,34.708946916765306,30.81670267711177,39.09279356371882,34.26896551724138,29.18544141584028,39.35248961864247,6
1993,34.36549878055052,30.609729703274045,38.582095231951676,31.926724137931036,26.956314650850345,36.897133625011726,6
1994,33.41191051428442,29.779690291890343,37.487151587958515,27.31293103448276,23.621164941718938,31.00469712724658,6
1995,32.57053073051083,29.06900513145057,36.49383483438856,27.829310344827586,24.257614219092062,31.40100647056311,6
1996,31.59409724511624,28.214414519437792,35.378617551896376,35.51896551724138,31.138097595089388,39.89983343939337,6
1997,29.614803638745844,26.4102717857322,33.208162402754276,36.168103448275865,30.92013692224076,41.41606997431097,6
1998,26.426759049069297,23.559505353452913,29.64296505211691,30.889655172413793,25.773526548864048,36.00578379596354,6
1999,22.701630930462755,20.206888428413052,25.504374348812956,26.619827586206895,22.64464836415343,30.59500680826036,6
2000,19.321784951096188,17.042145888449486,21.90635945379606,18.705172413793104,15.690555460456112,21.719789367130097,6
2001,17.121583284487542,14.923404676721457,19.64354787114474,13.624137931034483,11.422019996872647,15.826255865196318,6
2002,16.477300573281983,14.361232387439774,18.905162653013807,7.827586206896552,6.276300454746474,9.378871959046629,6
2003,17.46422795361422,15.459290506850909,19.72918859896173,19.87155172413793,17.042099401230136,22.701004047045725,6
2004,19.31292073903947,17.271720727412028,21.595353083752013,20.132758620689657,17.228438704724752,23.037078536654562,6
2005,21.510119918760207,19.249276101830034,24.036501760991264,26.61810344827586,22.31232586870187,30.923881027849852,6
2006,23.312131532741546,20.82757784700734,26.093071435953384,31.00948275862069,25.981222238279585,36.03774327896179,6
2007,24.308266833839117,21.752982331292575,27.163716104117835,26.252586206896552,21.14004026559702,31.365132148196086,6
2008,24.98427643127449,22.400326810404653,27.866292937494055,20.67155172413793,15.792389230568904,25.550714217706957,6
2009,25.898572640313354,23.240263698264563,28.860948976911732,28.28965517241379,22.777416420396204,33.80189392443138,6
2010,26.68044296329875,23.93069447861431,29.746150382471335,31.95948275862069,26.366017347541266,37.552948169700116,6
2011,26.902128410750734,24.110371631350016,30.01714465850389,33.78448275862069,27.077998940099572,40.490966577141805,6
2012,26.56510278985121,23.79014860528858,29.663735941459468,29.32758620689655,23.195492760949172,35.45967965284393,6
2013,26.264959317448596,23.4678175767984,29.39549387963763,29.387931034482758,23.88979871504705,34.886063353918466,6
2014,26.589945756643377,23.668791686488287,29.871622713416926,24.16293103448276,19.527079753896967,28.798782315068554,6
2015,28.340713678468727,25.195431902612608,31.878637957448866,29.448275862068964,24.24790357874322,34.64864814539471,6
