meetpunt	p01	p05	p10	p30	p50	p70	p90	p95	p99	groep3	ampl	groep3n
1	15.7455624681585	15.9144064457397	16.0316928696011	16.3637114093107	16.6825803483648	16.9853554649257	17.2473840004198	17.3256587811934	17.457496519453	4	1.71193405129452	4
2	75.1154719563941	75.1697832197535	75.2021083416437	75.2721701276365	75.3199651032892	75.3653577964102	75.4251979714962	75.4514500979374	75.4973727264065	3	0.38190077001245	3
3	65.9548163657562	66.1165459009168	66.2274214363549	66.6209176363184	66.9881167780808	67.2705970114529	67.451552117705	67.5173561282538	67.6281142488528	4	1.67329788309657	4
4	1.42266223466458	1.52459972524356	1.58706503505826	1.75188560046741	1.87588885433565	1.98094971888104	2.08818090752355	2.12720398160836	2.19331674551663	2	0.770654510852045	4
5	2.55090356651237	2.67458973850088	2.76448592326215	3.05460660251196	3.28968728483873	3.5379310725195	3.77243177193903	3.8402006650514	3.93948273087269	3	1.38857916436032	4
6	8.90101733513663	9.01103334312485	9.08278415740951	9.26528511959599	9.40844585051262	9.57091451809412	9.77425807708144	9.84505707964438	9.95313061380724	4	1.05211327867062	4
7	17.5250708930645	17.634500624244	17.694125716099	17.8561809124936	18.006462766631	18.1531491283399	18.2911068217144	18.3406548389901	18.4201288550378	4	0.895057961973382	4
9	26.2548208882305	26.4121424345177	26.5029861971157	26.707664697535	26.8258739629093	26.9232336792903	27.0523065586242	27.1148639943014	27.2313364197712	2	0.976515531540713	4
10	27.1008203453888	27.2388518499241	27.3401963685385	27.6585482864082	27.8303454062337	27.9256014081643	28.0186585096691	28.0634734718971	28.1484615580832	4	1.04764121269439	4
11	16.8195183560585	16.9619727418898	17.0539659631579	17.2916428501465	17.4749958475611	17.6678950912753	17.8896626511433	17.9718473873353	18.1105413582933	3	1.29102300223478	4
12	33.1834286155402	33.2860726315937	33.3481521937612	33.5620131993306	33.7227738460507	33.8587551977265	34.005008350551	34.0621975337916	34.148416295381	2	0.964987679840846	4
13	35.3625713816281	35.4148809460331	35.4531268622044	35.5481235272665	35.614272420587	35.6842594197922	35.7702638024304	35.8060995688616	35.8694778551948	3	0.506906473566751	4
14	32.8529294003107	32.9075805694552	32.9402127616972	33.0195965451905	33.0823473109968	33.1474596491493	33.2189768005839	33.2468484052817	33.2975945649016	3	0.44466516459088	4
15	34.9221501597944	35.0489278973364	35.1343727834218	35.3459365192011	35.4456974865172	35.5026117763524	35.575643750148	35.6100233593421	35.6759316067355	4	0.753781446941154	4
16	33.8497332659202	33.95902417813	34.0337011613501	34.2479259488293	34.4636995528496	34.7095460338048	34.9315733584411	35.0007025516591	35.1093775764425	2	1.25964431052223	4
18	17.0104903181404	17.0306049673607	17.0447525910835	17.0842377822564	17.1070451913052	17.1253333430532	17.1464727580428	17.1553288498609	17.1702549492639	3	0.15976463112349	2
19	0.621747047700193	0.744786391065571	0.824065336167806	1.0373674841246	1.20856119027154	1.36055505944514	1.4961322685009	1.54669361618701	1.63244441979815	2	1.01069737209795	4
20	0.488958120316722	0.635791245668759	0.719979056005346	0.937870265862729	1.13065930722067	1.32718857536134	1.54326616197963	1.63323530350038	1.77236674817752	2	1.28340862786079	4
22	28.4493994579187	28.5690607418165	28.6471690129198	28.8768623434046	29.0062194281934	29.0879290305816	29.1796609978162	29.2225934744968	29.3175354360423	3	0.868135978123632	4
23	13.4221893627713	13.5351373890573	13.6137240190153	13.8366475908117	14.0028628011877	14.1315488393947	14.2641109977417	14.3191441669099	14.4109552811299	2	0.988765918358585	4
24	13.8202383504723	13.9446742499786	14.0131364902259	14.1888564573844	14.3476487057281	14.5215030450974	14.7023612050423	14.7598159840274	14.8635413140966	3	1.0433029636243	4
25	9.75425615875897	9.88849627614498	9.98199517845893	10.2420141823769	10.4575468674262	10.6461272180041	10.7908179678758	10.8424152467495	10.930600700842	4	1.17634454208303	4
