jaar,gem_jaar,og_jaar_trend,bg_jaar_trend,aantal dagen boven hoog drempelpeil,og_jaar_indicator,bg_jaar_indicator,tijdvenster
1985,32.908793239866746,26.731034028676344,40.51428281234829,21.15344827586207,13.374956201636696,28.93194035008744,0
1986,33.235592493760024,28.006045955738937,39.441648069742044,30.88189655172414,22.120758214815776,39.6430348886325,0
1987,33.44652539309232,28.857560179491937,38.76523357874756,44.383620689655174,33.63702260254418,55.13021877676617,0
1988,33.40447319303647,29.136955947416926,38.29702839644841,64.22241379310344,51.773772805461405,76.67105478074548,0
1989,33.11332722119238,28.904224860658488,37.93536913526421,17.023275862068967,10.112419609759874,23.93413211437806,0
1990,32.94384463636112,28.65736978312979,37.87147626030911,9.687068965517241,6.028027410300686,13.346110520733797,0
1991,33.10829018296784,28.73630837260922,38.14543136948091,14.406896551724138,9.466750277117413,19.347042826330863,0
1992,33.65176288936121,29.241708932332035,38.726913949603954,17.785344827586208,10.481677369680575,25.08901228549184,0
1993,34.49759873653491,30.07990246665734,39.564101642488616,24.341379310344827,18.132198688536306,30.550559932153348,0
1994,35.42819665994891,30.983379865657703,40.5106584245589,58.10603448275862,46.27215140667994,69.93991755883731,0
1995,36.07649333980568,31.575369902799043,41.21925968574858,52.1551724137931,41.66618706576137,62.644157761824836,0
1996,36.322034213471454,31.769755766031057,41.526607227343106,7.825862068965518,4.334719872875118,11.317004265055918,0
1997,36.23445792402634,31.64885649423181,41.48446694392656,5.8870689655172415,3.092828069739489,8.681309861294993,0
1998,35.68771358115265,31.112713327262604,40.93544935325138,43.890517241379314,34.5768097091575,53.204224773601126,0
1999,34.37921911918019,29.93980257668652,39.476903837867944,55.73706896551724,43.63897368426932,67.83516424676516,0
2000,32.20590062294746,28.077896500457527,36.940802702875764,28.613793103448277,20.54699932415585,36.680586882740705,0
2001,29.373583093538162,25.676204924858492,33.60338438947655,49.41637931034483,37.494287606844736,61.338471013844924,0
2002,26.069346366629738,22.831462614991672,29.766416258284867,42.07241379310345,32.47587773609908,51.66894985010782,0
2003,22.661391934399933,19.781107446143725,25.961068448905237,25.310344827586206,19.066124409699242,31.55456524547317,0
2004,19.54866593228458,16.87813362853917,22.641741565897266,9.567241379310344,5.947687806307309,13.18679495231338,0
2005,16.969663418022897,14.429843215864842,19.956521509837163,5.6112068965517246,2.6266944293826686,8.59571936372078,0
2006,14.981894626299164,12.55928890704643,17.871805343023787,3.5732758620689653,1.386478014143714,5.7600737099942165,0
2007,13.541406345995576,11.238573295891882,16.316100006608284,10.030172413793103,6.705431924163458,13.354912903422749,0
2008,12.571604886331816,10.381837291391708,15.223244689944055,5.89051724137931,3.3104398061475413,8.470594676611078,0
2009,12.016240819843429,9.929135890752256,14.542055323762126,4.8293103448275865,2.4423752486798223,7.216245440975351,0
2010,11.822892097229436,9.820634627506635,14.233375219073725,8.78448275862069,5.431618359895067,12.137347157346314,0
