jaar	mean	sd	p02.5	p50	p97.5	intercept	tijdvenster	gem_jaar	og_jaar	bg_jaar
1985	3.14417927095989	0.0452341911253436	3.05536480236959	3.14417796978779	3.23300132995169	3.14417927095989	0	23.2006262295245	21.2289284779154	25.3556435359345
1986	3.48418708184393	0.0441901675528612	3.39744550901808	3.48417390505551	3.57100437621549	3.14417927095989	0	32.5959185226823	29.8876547050832	35.5522830931093
1987	3.8030332566161	0.0439074122690039	3.71682619018226	3.80302618394171	3.88928099171045	3.14417927095989	0	44.8369805048704	41.1336363793093	48.8757318306447
1988	4.12913178874917	0.0437324059005655	4.04324580823933	4.12913187309294	4.21501733804706	3.14417927095989	0	62.1239627903075	57.0110898817526	67.6953395657404
1989	2.97020539946264	0.045756377930939	2.88037474595013	2.97020276731535	3.06005129264078	3.14417927095989	0	19.4959236370418	17.8209502573665	21.3286511368113
1990	2.65708330771864	0.0480039347844233	2.56290425159609	2.65706539866066	2.75136523671053	3.14417927095989	0	14.2546519734699	12.9734407912029	15.6640023640482
1991	3.00499440312276	0.0468220673020685	2.9131352064341	3.00497305402739	3.09697620074075	3.14417927095989	0	20.1861031165302	18.4144412336077	22.1309305125418
1992	3.07433871009325	0.045779897627344	2.98448667364829	3.07432752076274	3.16425508466028	3.14417927095989	0	21.6355697958721	19.7763479098289	23.6711044948192
1993	3.23516066785074	0.0442826987096698	3.14822627364987	3.23515173538533	3.32214644920472	3.14417927095989	0	25.4104540939367	23.2947094754497	27.7197858605843
1994	4.02457849062532	0.0437426905037039	3.93866038174944	4.0245827785011	4.11047204852562	3.14417927095989	0	55.9567175290115	51.3497661205324	60.9754941692339
1995	3.92478038700435	0.0437812911700346	3.83879101237346	3.92478325233328	4.01075338401132	3.14417927095989	0	50.6419552060333	46.4692597051789	55.188432988288
1996	2.51116057625286	0.0490323614327805	2.41496266759085	2.51114553122905	2.60744493709248	3.14417927095989	0	12.3192191603229	11.189352624265	13.5643487732977
1997	2.27172794361546	0.0506066374036195	2.17242819953067	2.27172094985963	2.37106797968793	3.14417927095989	0	9.6961407315626	8.77957674294072	10.7088229845758
1998	3.85788143823291	0.0443637402419428	3.77078510413818	3.85787378237801	3.9450217822349	3.14417927095989	0	47.3648995344615	43.4141360772551	51.6774637505018
1999	4.00091491609901	0.044003864287847	3.91447989137737	4.00092165709146	4.08731131114097	3.14417927095989	0	54.6481256178331	50.1229953283384	59.5794854607522
2000	3.34314088509151	0.0444119461765121	3.25590231085929	3.34315000798263	3.43032721228106	3.14417927095989	0	28.3078990787055	25.9430126382558	30.8867476195113
2001	3.83117189967581	0.0438761148683298	3.74496911738717	3.83118462241964	3.91730172896286	3.14417927095989	0	46.1165505501645	42.3077006263241	50.2646340271691
2002	3.68421119919828	0.0438804118457191	3.59801112502143	3.68422005902092	3.77036050506575	3.14417927095989	0	39.8137049780209	36.5255174673905	43.3957063882375
2003	3.21256193383254	0.0442686548138151	3.12561441240307	3.21256712955521	3.29947975651947	3.14417927095989	0	24.8426499922425	22.7738833522045	27.0985374154457
2004	2.56909627156421	0.047417100092669	2.47605022696832	2.56908327997272	2.6622170177785	3.14417927095989	0	13.0540218178366	11.8941921572567	14.328019386085
2005	2.14484742321358	0.0501521335066631	2.04643068013397	2.14484250853008	2.24329256782667	3.14417927095989	0	8.54073801951557	7.74022440545332	9.424310440319
2006	1.93115803986475	0.0541097387700285	1.82500120188291	1.93115208009948	2.03734924221295	3.14417927095989	0	6.89749319048406	6.2028024741427	7.67025025189757
